,Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN
1993,2017-11-24,69.36000061035156,48.560001373291016,89.2300033569336,174.97000122070312,94.72000122070312,81.2300033569336,199.74000549316406,56.130001068115234,147.6300048828125
1994,2017-11-27,69.30999755859375,48.41999816894531,89.87000274658203,174.08999633789062,95.41999816894531,81.12000274658203,198.4499969482422,56.150001525878906,147.5
1995,2017-11-28,70.58999633789062,49.220001220703125,92.83999633789062,173.07000732421875,95.41999816894531,83.1500015258789,197.3300018310547,56.02000045776367,148.0399932861328
1996,2017-11-29,68.69000244140625,49.25,99.94999694824219,169.47999572753906,95.81999969482422,84.66000366210938,194.14999389648438,55.58000183105469,146.9499969482422
1997,2017-11-30,69.23999786376953,50.4900016784668,101.0,171.85000610351562,96.91999816894531,84.81999969482422,194.83999633789062,56.369998931884766,148.00999450683594
1998,2017-12-01,68.69000244140625,49.0,99.27999877929688,171.0500030517578,96.31999969482422,84.94999694824219,194.60000610351562,55.97999954223633,146.57000732421875
1999,2017-12-04,66.23999786376953,49.93000030517578,104.0199966430664,169.8000030517578,95.22000122070312,87.41999816894531,189.57000732421875,54.709999084472656,147.14999389648438
2000,2017-12-05,65.83000183105469,49.470001220703125,101.1500015258789,169.63999938964844,95.41000366210938,85.88999938964844,187.9600067138672,54.790000915527344,147.6699981689453
2001,2017-12-06,65.88999938964844,49.61000061035156,97.5,169.00999450683594,94.4000015258789,85.98999786376953,187.0,54.65999984741211,148.27000427246094
2002,2017-12-07,66.70999908447266,50.880001068115234,97.61000061035156,169.32000732421875,94.23999786376953,85.93000030517578,187.91000366210938,54.689998626708984,148.60000610351562
2003,2017-12-08,67.37999725341797,51.02000045776367,100.30999755859375,169.3699951171875,95.94999694824219,86.69999694824219,191.36000061035156,54.63999938964844,150.52999877929688
2004,2017-12-11,67.0,51.29999923706055,100.8499984741211,172.6699981689453,96.47000122070312,86.7699966430664,193.42999267578125,54.939998626708984,150.69000244140625
2005,2017-12-12,67.05999755859375,50.470001220703125,103.02999877929688,171.6999969482422,96.30000305175781,87.81999969482422,192.94000244140625,55.70000076293945,152.10000610351562
2006,2017-12-13,66.68000030517578,50.09000015258789,102.5,172.27000427246094,97.3499984741211,88.4800033569336,193.05999755859375,55.060001373291016,151.4199981689453
