,qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,loadfactor,mkvaltq,epsfxq,revtq,price,share_outstanding,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,date,mkval_target
14,2013Q3,-88116,81.56666666666666,372688.0,988.3333333333334,7.233333333333333,5.4,233.29999999999998,10773.421428571426,12376.300000000001,2.698358024691357,84.88,15404.492880995133,1.710615567505788,9273.940446985041,30.361447960637562,604361904.2013452,302.8918349073999,57405644.59799285,932860.997278173,923.3845066932498,14.057940518955228,86.03118929985303,14.078482477004481,8144.214455856283,16.37274599923198,49347291.291116804,2659.7894813776275,16.07809287620489,2013-09-30,15404.492880995133
15,2013Q4,-75590,76.93333333333334,374594.0,1026.6666666666667,6.933333333333334,5.5,234.1626666666667,10971.107692307693,12425.199999999999,2.736987012987013,81.44,18052.34148654361,5.755532824072082,8212.710013830023,35.96283844119128,601399722.9134799,308.2163758760469,51429017.53667302,837050.7510722204,844.4495389705464,14.317191595468628,82.75158118106339,13.650487115975064,7085.466056605826,16.511166610761162,42445765.82952816,2514.1716103095673,15.836901474013064,2013-12-31,18052.34148654361
16,2014Q1,-88573,80.93333333333334,377627.6666666667,1030.0,6.666666666666667,0.6,235.62099999999998,11133.73076923077,12598.300000000001,2.7571999999999997,80.46666666666665,22553.50448520056,-0.21653714207262809,7900.508984472858,43.80523380508868,602835787.4018761,310.4317153980922,49345783.00835868,797213.9145233732,934.2182689265521,15.221045513883562,82.44181667903169,13.600812612536881,6768.492844376302,16.494873690484045,40548074.12380774,2479.8029024791413,15.884134482643608,2014-03-31,22553.50448520056
17,2014Q2,-85907,82.83333333333333,386993.0,1034.6666666666667,6.2,7.6,236.87233333333333,11309.484615384617,12769.866666666667,2.610857142857143,84.34333333333332,24682.708121181644,1.411289856557246,9443.393075098931,46.5259375608149,622288360.1937399,299.3917553964749,55949972.43544495,897098.0293023558,930.2113212881247,14.44089170694723,86.0190050564176,14.542138690419987,8227.097232780665,16.906261405861574,48096483.08785988,2675.9334909514746,16.720018584552932,2014-06-30,24682.708121181644
18,2014Q3,-88594,82.96666666666667,389734.0,1065.3333333333333,6.066666666666667,7.3,237.47833333333332,11458.015384615383,12918.966666666665,2.490304878048781,84.63333333333333,23383.519158931256,1.16316109420985,9911.85902025326,40.34229727661028,612260423.4548556,296.9539051089443,59556640.697216555,953672.4166957051,947.0149016514245,14.84724059930727,86.16220488261916,14.444805858064719,8689.628524849315,16.760319580797834,51314352.16606335,3006.3950543927367,16.51692101850944,2014-09-30,23383.519158931256
19,2014Q4,-102125,89.76666666666665,390215.0,1078.6666666666667,5.7,2.1,236.88833333333332,11602.553846153845,13089.733333333332,2.2666794871794878,80.60333333333334,31903.680563903938,-0.33877586144238525,8636.14725814648,56.38450055197899,605663193.1473439,263.87526134348184,53480414.65262103,856201.48096009,950.9263443323457,15.828888333991689,82.49965936915036,13.718641546276743,7416.406406560829,16.636969694095043,44062729.379493475,3357.223328614104,15.984757319543426,2014-12-31,31903.680563903938
20,2015Q1,-102141,95.5,387032.3333333333,1086.3333333333333,5.533333333333334,3.1,235.31966666666665,11813.138461538461,13238.433333333334,1.9663199999999994,80.04666666666667,29379.96446251531,1.0779189963089495,8135.053677641901,56.11306757415045,582476522.350573,252.39706643914704,51175492.37905432,814461.7107752129,941.9551036239444,13.626294617899678,81.68683212006924,13.354216544010582,6923.541745660827,16.355186026458853,41695342.02507091,1791.1570283101762,15.68234450040047,2015-03-31,29379.96446251531
21,2015Q2,-98045,94.23333333333335,393483.6666666667,1266.0,5.433333333333334,5.0,236.93800000000002,11950.907692307694,13337.966666666667,2.153769230769231,83.23333333333333,25340.637132958665,2.2505770776997345,9219.431851494406,48.52413873509235,583923181.2157838,225.86914811973014,57018104.046389,901080.0693039752,923.4950999101887,12.659071626966945,84.9544644490361,13.749202266569078,7939.399008099708,16.176610896682234,48460660.543165594,1669.2893488354744,15.981909663783437,2015-06-30,25340.637132958665
22,2015Q3,-109188,90.73333333333333,397281.0,1148.3333333333333,5.1000000000000005,2.8,237.86233333333334,12096.43076923077,13436.0,2.216923076923077,84.88666666666667,26713.758423956242,5.126301758594888,9392.48945033217,52.47107908378466,565786399.9338205,182.89802740089368,58798730.721891746,929628.8244964625,912.0516910303645,12.52366618074525,86.2506296270655,13.649172057913471,8129.426758105192,15.819578446575655,50796562.09684314,1752.0395129222957,15.795297566965568,2015-09-30,26713.758423956242
23,2015Q4,-98390,91.3,396041.6666666667,1209.6666666666667,5.033333333333333,0.5,237.87133333333335,12262.06153846154,13478.666666666666,2.1810641025641018,81.8,29762.441476530523,1.5818539075700397,8208.460783521576,57.119406944261826,569337859.0634445,177.26301375955202,52322192.36970507,831101.4637208447,916.8694502462288,12.901283358515908,84.07157182866365,13.192611149210428,7019.730056875273,15.682187444404857,44080467.33136912,1437.3610932453894,15.428586716525766,2015-12-31,29762.441476530523
24,2016Q1,-112435,91.56666666666666,396789.6666666667,1160.3333333333333,4.933333333333334,0.9,237.78,12520.392307692307,13568.699999999999,1.9110399999999996,79.58999999999999,28267.872242074576,1.1453164451756108,7772.448171210883,57.42940500837959,554462465.5315267,133.64238038230195,51216947.295948,801153.0560220862,916.2294234029091,12.704745275817976,81.41068455780521,12.569290509997082,6556.810967735564,15.432531463150568,41654464.53270021,1160.771461702202,14.899981502832256,2016-03-31,28267.872242074576
25,2016Q2,-103316,92.39999999999999,401317.6666666667,1178.6666666666667,4.9,4.9,239.48600000000002,12745.530769230767,13554.366666666669,1.7442207792207787,83.05000000000001,20404.31422764952,1.9699991605931433,8843.921923538954,40.68129474943452,554728781.5414014,174.66197262260465,57604517.319606185,899033.9756933353,914.229282675111,12.00727970098918,84.85054150268493,12.97243940649736,7600.623124324096,15.287830398008335,48873040.402328774,1262.1763582885592,15.123110215267225,2016-06-30,20404.31422764952
26,2016Q3,-106792,90.33333333333333,405144.6666666667,1225.6666666666667,4.8999999999999995,3.4,240.601,12951.499999999998,13615.066666666668,1.5629753086419755,84.52333333333333,22084.190087955903,2.152147283621643,8973.675717003842,46.86600225425639,524312715.3937923,151.0237830560878,60083815.474102415,942602.5022040522,927.7040826632192,11.995145100527079,85.46063085782993,12.78447269584743,7767.769439027066,14.957933948942681,51339178.46680798,1423.4230598378424,14.814011083100388,2016-09-30,22084.190087955903
27,2016Q4,-105806,93.06666666666666,408985.3333333333,1261.3333333333333,4.766666666666667,5.0,242.16400000000002,13156.06923076923,13696.733333333332,2.1297236842105263,81.90333333333335,27843.219559863028,0.9897489577644595,8105.943812650437,63.278489047359145,511510153.78625715,161.42287868386046,52690019.79536389,825401.3569162273,948.0817836378826,13.399650272138807,84.12415679735989,12.845193582634785,6876.882570236059,15.260731066575005,44293622.990322344,1319.9217804055597,15.153960702289048,2016-12-30,27843.219559863028
28,2017Q1,-104295,97.23333333333335,415191.0,1284.6666666666667,4.6000000000000005,3.8,243.83,13332.853846153848,13860.966666666667,2.4449736842105265,79.30666666666667,26076.014721232077,0.6183033315699226,7619.015199150469,62.29593127095562,489771693.1140598,173.22448743372763,51069697.281072736,789766.0282243462,943.337767426334,13.333388496395933,81.53887147738321,12.753944662603178,6635.0652003962405,15.642772206824176,41637770.004536115,1312.1171127954985,14.606716734626259,2017-03-31,26076.014721232077
29,2017Q2,-122874,96.36666666666667,416439.6666666667,1254.3333333333333,4.366666666666667,3.1,244.06500000000003,13508.046153846151,13953.4,2.257144736842105,83.53666666666668,29718.304779627222,2.0628905919889187,9229.482373601233,66.29277069965818,509875821.1163142,165.93893664753966,59107947.58921077,913822.2444995922,959.2101234472797,12.632945326424554,85.80668321632012,13.599800077094596,8124.221592841908,15.848746961684633,50654651.230425894,1481.9597116853274,15.406856126059724,2017-06-30,29718.304779627222
30,2017Q3,-99708,95.09999999999998,421180.6666666667,1277.0,4.3,6.2,245.36833333333334,13657.753846153846,14034.566666666666,2.241205128205128,84.28666666666666,25834.69800093413,1.840962895107511,9385.686665617908,56.29579449513342,510627818.6749738,170.0795662158923,62102067.1113123,961155.6738971339,964.5963721243406,12.544513762309144,85.93825385852088,13.072071474405687,8193.69084347004,15.203244564858794,53429791.490697965,1581.1218152425508,14.873611517161441,2017-09-29,25834.69800093413
31,2017Q4,-112769,98.36666666666667,431362.3333333333,1326.0,4.133333333333334,6.6,247.2733333333333,13807.930769230767,14162.433333333334,2.3708571428571426,82.01666666666667,29724.220998086064,1.1511949210131225,8909.2073752787,62.14143438422758,514883411.70652086,192.4233680103879,55658066.861159205,865433.9012837863,983.0016284483672,14.075752115753708,83.95307263582752,13.50111121292418,7639.91052629486,16.07464022243817,46737671.459509134,1637.2821434064656,15.689764030694196,2017-12-29,29724.220998086064
32,2018Q1,-114001,98.93333333333334,434541.0,1376.3333333333333,4.066666666666666,5.2,249.25033333333332,13893.261538461538,14400.299999999997,2.7571733333333337,80.55000000000001,29223.712055498923,0.6180335417966444,8740.033822744292,59.0883581594178,513258876.4450971,204.67383300194112,55070917.41811997,848553.4022482834,1016.791137146789,14.555362930935067,81.82980378601185,13.817835058611099,7755.443863780631,16.87158508907001,45142509.52324659,1719.515167412114,15.54039208707649,2018-03-29,29223.712055498923
33,2018Q2,-107311,98.33333333333333,439856.3333333333,1334.3333333333333,3.9,6.6,250.57866666666666,14031.715384615385,14495.933333333334,2.921415584415584,83.90333333333332,26249.31868627164,1.8086595533076602,10302.311965400011,57.33721748099859,498821664.51781386,221.3140528074266,62967359.773788214,961557.0532275473,1031.6965846086239,13.950226995896408,86.02021817552813,14.519354998959486,9306.690255286007,16.8745037066649,54157716.09909676,2130.1996630834155,16.05077640022655,2018-06-29,26249.31868627164
34,2018Q3,-125739,98.06666666666668,442571.6666666667,1290.3333333333333,3.7999999999999994,4.8,251.82866666666666,14180.884615384615,14613.266666666668,2.921538461538461,84.69333333333334,30911.430144561004,2.2745737063913993,10499.99281562277,69.31330106735165,486219523.72295046,226.28083908611487,66606546.33042674,1019346.1238021038,1036.286515956373,13.535327024563943,86.36807960007258,14.13079879374727,9549.231321591624,16.35580040567256,57626242.76532389,2290.577845249918,15.521459364323352,2018-09-28,30911.430144561004
35,2018Q4,-143927,98.13333333333333,444835.3333333333,1318.0,3.8000000000000003,2.5,252.759,14290.8,14715.166666666666,3.0349870129870133,82.03666666666668,26891.7192012405,1.414189439517736,9653.594914478008,63.25652244294332,475251419.4197483,239.84619977277674,59418741.17930344,908642.7070214169,1052.0228442616124,14.69828199315152,84.10023916837265,14.468993583708954,8723.586246444216,17.197261240296825,49963346.680628695,2139.6412703325313,15.992857718617095,2018-12-31,26891.7192012405
36,2019Q1,-136194,94.46666666666665,446027.3333333333,1297.0,3.8666666666666667,4.0,253.31133333333332,14462.216666666669,14878.1,2.6503466666666657,80.7,26566.732105501986,0.9735415165617878,9229.13565224415,60.822861976286674,478600721.6428907,205.6591989628578,58353777.07388213,885945.8122677219,1065.5459444429723,14.352410189923527,81.8279245592025,13.896385528993687,8247.025587640104,16.967057504311363,47813985.76289119,1822.0378990359495,15.532369805209791,2019-03-29,26566.732105501986
37,2019Q2,-128188,98.46666666666665,453971.0,1273.6666666666667,3.6333333333333333,5.4,255.13933333333333,14628.330769230768,14966.633333333333,2.3329866666666668,85.42999999999999,28741.65755476128,2.806725427118818,10975.246664926239,67.63185883149572,461926196.79507685,212.8754922348959,65947478.386402026,998823.5240045118,1071.633551113003,13.824699373074147,87.12071121829285,14.936679138218379,10006.006646165835,17.13202779322508,57528175.99903422,2116.6502671745593,16.37221730090419,2019-06-28,28741.65755476128
