qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,eps,revenue,eps_growth,revenue_growth,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,target,target_plus1
2013Q4,-75590,76.93333333333334,374594.0,1026.6666666666667,6.933333333333334,5.5,234.1626666666667,10971.107692307693,12425.199999999999,2.736987012987013,5.750155062152462,8210.143138080986,2.6120070235636086,-0.11697446429136472,308.2227543042852,51414028.79387678,836789.0771101946,844.395648261287,14.315199853492057,82.75213214132202,13.649776503003116,7083.204000411829,16.51020107666614,42433413.84246211,2513.442740000812,15.836214928951618,32.86019180781763,40.65530593288674
2014Q1,-88573,80.93333333333334,377627.6666666667,1030.0,6.666666666666667,0.6,235.62099999999998,11133.73076923077,12598.300000000001,2.7571999999999997,-0.21930708664448267,7904.101444013995,-2.2556889622141583,-0.030138321047356326,310.4381449734415,49372414.935325556,797640.2055006407,935.0027511470207,15.222758996741119,82.43895687963209,13.600162166359242,6771.471807330215,16.4946298386655,40568912.21040214,2481.2271069463513,15.883527430888867,40.65530593288674,42.400715940006975
2014Q2,-85907,82.83333333333333,386993.0,1034.6666666666667,6.2,7.6,236.87233333333333,11309.484615384617,12769.866666666667,2.610857142857143,1.411988172654426,9435.116872310602,1.1276314854824347,0.18238056798001526,299.3971443796877,55900918.2654053,896288.9262276347,929.342193157415,14.438666185164678,86.0195815634663,14.540825661213916,8219.870963991438,16.904634025612236,48054525.36998206,2673.486332456576,16.718776678509762,42.400715940006975,39.807747953393495
2014Q3,-88594,82.96666666666667,389734.0,1065.3333333333333,6.066666666666667,7.3,237.47833333333332,11458.015384615383,12918.966666666665,2.490304878048781,1.1615670061390964,9920.912141826697,-0.29915974239330506,0.0442479223573216,296.9243668371529,59608141.91760101,954541.3573172981,947.5631211586635,14.851064573804953,86.16277103453392,14.446640348082722,8697.550012028989,16.762344346022054,51359013.863228455,3009.27952012861,16.5187202277829,39.807747953393495,55.11724947035956
2014Q4,-102125,89.76666666666665,390215.0,1078.6666666666667,5.7,2.1,236.88833333333332,11602.553846153845,13089.733333333332,2.2666794871794878,-0.33719964449152123,8639.211709852882,-2.050413138033833,-0.12767826181120304,263.88782174636765,53509560.80552343,856605.1405997497,952.1924992891901,15.823600399500828,82.49640145053719,13.717511969158576,7419.381490806247,16.63623206022482,44085134.99242155,3354.0391796693757,15.982767321744113,55.11724947035956,53.42775956104637
2015Q1,-102141,95.5,387032.3333333333,1086.3333333333333,5.533333333333334,3.1,235.31966666666665,11813.138461538461,13238.433333333334,1.9663199999999994,1.0782836018399804,8123.700211376795,5.389231579922175,-0.04466739642531842,252.25395596968218,51110038.42144461,813352.2235982252,941.0107687707902,13.622114056082424,81.68910036102376,13.350938685307781,6914.004359536772,16.35078330063697,41642067.13252172,1788.542457203,15.678133890248105,53.42775956104637,46.7822556245955
2015Q2,-98045,94.23333333333335,393483.6666666667,1266.0,5.433333333333334,5.0,236.93800000000002,11950.907692307694,13337.966666666667,2.153769230769231,2.251875317588255,9207.970959999244,1.0877728831455522,0.14307263461198766,225.80046266309006,56956862.82667198,900017.2625966175,922.9983662889907,12.656783234482132,84.9519160944361,13.746094059110183,7929.841073255799,16.173435926429182,48406998.07231006,1667.9400752341521,15.977799425404474,46.7822556245955,50.62907510725818
2015Q3,-109188,90.73333333333333,397281.0,1148.3333333333333,5.1000000000000005,2.8,237.86233333333334,12096.43076923077,13436.0,2.216923076923077,5.12531408909053,9390.703745828956,0.9150854902223703,0.040620274952925396,182.89832010460626,58787653.69112584,929447.4699723272,911.8812863443147,12.523200836433734,86.25051284534878,13.648929103656737,8127.8763353602635,15.819316088653126,50786996.49665177,1751.6975861057274,15.79504971682714,50.62907510725818,55.52426135992205
2015Q4,-98390,91.3,396041.6666666667,1209.6666666666667,5.033333333333333,0.5,237.87133333333335,12262.06153846154,13478.666666666666,2.1810641025641018,1.5832906819414552,8210.239414795911,-0.4243067311931843,-0.13055879120459418,177.24709159815572,52341630.28785134,831360.362416321,917.5633553640308,12.901446735851048,84.06857046688205,13.19133153772103,7021.25454736112,15.68121420332966,44094813.12897009,1437.7504466533655,15.427074437611251,55.52426135992205,55.152046718778834
2016Q1,-112435,91.56666666666666,396789.6666666667,1160.3333333333333,4.933333333333334,0.9,237.78,12520.392307692307,13568.699999999999,1.9110399999999996,1.1446913820439806,7765.163103987792,-0.20990471369418,-0.046335932457524154,133.6493681277921,51188291.15558886,800574.3645691185,916.4821605350664,12.702102894476488,81.40544479158568,12.56458844418469,6550.968618775191,15.4277430050337,41628000.388626784,1159.6121321186702,14.893786648692751,55.152046718778834,39.87562049835403
