qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,eps,revenue,eps_growth,revenue_growth,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,target,target_lag1
2015Q3,-109188,90.73333333333333,397281.0,1148.3333333333333,5.1000000000000005,2.8,237.86233333333334,12096.43076923077,13436.0,2.216923076923077,0.8577013117438095,3949.036819811471,0.08222111235356401,0.018642290314501382,186.4197350900821,28281584.11767464,384698.4195600892,527.4022639290089,10.689656758759032,85.35901277010751,12.063062503835576,3600.6825104486547,14.132813121727963,24148099.274153292,727.1468988870486,13.53222146495063,34.990585071959956,31.435080309288914
2015Q4,-98390,91.3,396041.6666666667,1209.6666666666667,5.033333333333333,0.5,237.87133333333335,12262.06153846154,13478.666666666666,2.1810641025641018,0.7876714544938573,4007.085619703494,-0.07396697717246425,-0.04174191534334161,165.1132675751591,28870035.57233613,393054.14271634724,565.2481459554768,10.639193121292777,83.9160339070851,11.978174900560983,3646.3056230529464,14.275791668831584,24250409.672417708,652.4710304459692,13.425439020406758,36.63731821793789,34.990585071959956
2016Q1,-112435,91.56666666666666,396789.6666666667,1160.3333333333333,4.933333333333334,0.9,237.78,12520.392307692307,13568.699999999999,1.9110399999999996,0.7646523369219403,3884.4052120107267,-0.026601407278374962,-0.01681023326542662,163.83290026654487,28781973.348376133,385864.5029379023,570.8416396429245,10.45765908728625,81.51967832158613,11.574289530541579,3521.584232887899,14.232940780647269,23290132.89100528,672.6530935503197,13.04275046370757,37.628524112501744,36.63731821793789
2016Q2,-103316,92.39999999999999,401317.6666666667,1178.6666666666667,4.9,4.9,239.48600000000002,12745.530769230767,13554.366666666669,1.7442207792207787,1.1370294781652897,4332.903124401532,0.4606361107330335,0.09713328758911713,167.2503478291468,31284834.726823054,420340.71684864565,579.401532328574,10.258016434917506,85.58079146171909,11.748341760740129,3923.273019326157,13.74221119926702,26761516.738230947,727.8845686993187,13.297302810756245,32.530298619542286,37.628524112501744
2016Q3,-106792,90.33333333333333,405144.6666666667,1225.6666666666667,4.8999999999999995,3.4,240.601,12951.499999999998,13615.066666666668,1.5629753086419755,0.6632886738245982,4146.0582625789475,-0.3520852496424634,-0.018610207835351077,174.56247168224525,30909112.810836993,419762.9480894553,573.0247728698754,11.044652789158647,85.53456319149537,11.502334026777907,3743.8953522450256,13.45831026776224,26395688.472176388,755.6911596448515,13.029480852447275,32.229472607670836,32.530298619542286
2016Q4,-105806,93.06666666666666,408985.3333333333,1261.3333333333333,4.766666666666667,5.0,242.16400000000002,13156.06923076923,13696.733333333332,2.1297236842105263,0.7677889400001964,4050.929861730984,0.19724663333908302,-0.024858081521942445,181.63154923671638,30081603.237946328,403932.7154045006,577.1397885746169,10.809493995121974,84.1650685483753,11.470307192092873,3665.4177617151554,13.600617531354375,25388250.340408154,758.1537895318123,12.98060369886543,41.59058576140656,32.229472607670836
2017Q1,-104295,97.23333333333335,415191.0,1284.6666666666667,4.6000000000000005,3.8,243.83,13332.853846153848,13860.966666666667,2.4449736842105265,0.4923065737818661,3977.7595083177503,-0.37401833036344345,-0.03524018283943166,190.10865619284627,30513895.92615912,405603.99879365385,595.0359044823985,11.114003291643614,80.6789256403368,11.442084630847022,3696.5312298002073,14.196688961055154,24491082.42428928,786.66204054542,12.615297042976508,42.776945284335675,41.59058576140656
2017Q2,-122874,96.36666666666667,416439.6666666667,1254.3333333333333,4.366666666666667,3.1,244.06500000000003,13508.046153846151,13953.4,2.257144736842105,1.1259128268762533,4753.258764544508,1.3074726137067423,0.1760447197852857,183.70764195034113,33707020.576024175,449973.13831815665,610.2427447324185,10.863913530475108,85.5154886386635,12.499888470353085,4428.772774885652,14.611764595867772,28838808.586224616,849.1312408429578,13.719126288047068,48.40146663663148,42.776945284335675
2017Q3,-99708,95.09999999999998,421180.6666666667,1277.0,4.3,6.2,245.36833333333334,13657.753846153846,14034.566666666666,2.241205128205128,0.8309167888176405,4540.991722871411,-0.2563173061631636,-0.06230100737198178,192.5121995139088,33720667.70782409,452043.76411848323,589.3643951268693,11.074495864761671,84.7993863802203,12.024689319777536,4207.52738658377,14.167685264550688,28607825.932754043,888.1028819977025,13.1917202227613,42.05287281671928,48.40146663663148
2017Q4,-112769,98.36666666666667,431362.3333333333,1326.0,4.133333333333334,6.6,247.2733333333333,13807.930769230767,14162.433333333334,2.3708571428571426,2.847817034325022,4456.599726898003,2.4440272030697314,-0.013386535106060547,206.90423123759524,32474874.311308343,430110.6072120644,600.8371351763365,11.543022848527977,84.5074741081122,12.139129276758217,4119.673388737106,14.346136999692227,27537254.699194994,903.1593028318769,13.368819713883948,49.940490244130615,42.05287281671928
2018Q1,-114001,98.93333333333334,434541.0,1376.3333333333333,4.066666666666666,5.2,249.25033333333332,13893.261538461538,14400.299999999997,2.7571733333333337,0.6247412129305387,4201.1660027878315,-0.7785616930303033,-0.04391262350820538,207.78740441267342,32055490.009065364,420954.4612137228,608.7951296110327,11.416527598180158,81.94364893745195,11.9928144650352,3908.2707193902834,14.639654604788321,26178255.00439656,877.1724309924001,12.825772107959297,43.756737111499426,49.940490244130615
2018Q2,-107311,98.33333333333333,439856.3333333333,1334.3333333333333,3.9,6.6,250.57866666666666,14031.715384615385,14495.933333333334,2.921415584415584,0.9350127772155938,4819.523600116182,0.012313126696717136,0.15472267760436817,222.82529216911718,35236420.03768131,462603.39304309804,613.7203329242476,11.605320760226904,84.87188782393889,12.539730296531427,4509.089262862558,14.780731568557437,29872788.279551495,1027.1473699678359,13.34670374881975,39.384556700475144,43.756737111499426
2018Q3,-125739,98.06666666666668,442571.6666666667,1290.3333333333333,3.7999999999999994,4.8,251.82866666666666,14180.884615384615,14613.266666666668,2.921538461538461,0.9805004799094417,4763.024002633736,0.2519660798086228,-0.013133642356127382,225.92958993073037,35000327.44597287,462771.48969518003,631.5220400828667,11.578742978822241,84.31834923282848,12.50576400048737,4450.190331270479,14.850264523623576,29411419.275330283,1044.8935767584424,13.322396818793008,47.21381517799685,39.384556700475144
2018Q4,-143927,98.13333333333333,444835.3333333333,1318.0,3.8000000000000003,2.5,252.759,14290.8,14715.166666666666,3.0349870129870133,1.1024663689929453,4634.138505703997,0.39692882194177204,0.009308485148181694,224.97310391014108,33296076.873037137,434848.7129603628,610.1656125077575,11.564517924871268,83.47310391014106,12.645713760274687,4333.162896951344,15.151854567319294,27799441.78006172,982.3151285257607,13.455997641938303,37.40257882008814,47.21381517799685
2019Q1,-136194,94.46666666666665,446027.3333333333,1297.0,3.8666666666666667,4.0,253.31133333333332,14462.216666666669,14878.1,2.6503466666666657,0.6363582655172,4292.944724565422,-0.4465829706613524,-0.0822155808825621,205.38715724576443,32152774.709692538,418284.8200286224,625.797366321039,11.744624055749382,81.36612161120631,12.019582104354681,3971.3509196987347,14.77683256855607,26104445.56970016,861.3097499725578,12.920119974046107,40.231574123687,37.40257882008814
2019Q2,-128188,98.46666666666665,453971.0,1273.6666666666667,3.6333333333333333,5.4,255.13933333333333,14628.330769230768,14966.633333333333,2.3329866666666668,1.2777031165522386,4889.232447109094,1.3092473422928155,0.14761973770539602,213.72767938652245,33703674.381301284,449090.3229979981,621.285744367022,11.838831969617225,86.21325408453028,13.158196922101963,4554.952775814849,15.26293488577144,29080934.02937767,958.9598744641785,14.046641665590116,39.90125957448674,40.231574123687
