gvkey,indfmt,consol,popsrc,fyr,datafmt,ogaspnglq,ogaspnglq_dc,ogaspngq,ogaspngq_dc,ogaspoilq,ogaspoilq_dc,ogpngdq,ogpngdq_dc,ogpngldq,ogpngldq_dc,ogpnglq,ogpnglq_dc,ogpngq,ogpngq_dc,ogpoildq,ogpoildq_dc,ogpoilq,ogpoilq_dc,ogxdhq,ogxdhq_dc,ogxpxq,ogxpxq_dc,orcaptq,orcaptq_dc,orcapuq,orcapuq_dc,orfmq,orfmq_dc,orfsitesq,orfsitesq_dc,orfvolq,orfvolq_dc,ormmq,ormmq_dc,ormsaleq,ormsaleq_dc,orpsdq,orpsdq_dc,orpsgq,orpsgq_dc,orpsoq,orpsoq_dc,orpspq,orpspq_dc,orpstq,orpstq_dc,orpydq,orpydq_dc,orpygq,orpygq_dc,orpyoq,orpyoq_dc,orpypq,orpypq_dc,orpytq,orpytq_dc,orttq,orttq_dc,datadate,tic
002991,INDL,C,D,12,STD,,,,,,,6616000.0000,,,4,,,,,1723.0000,,,,61.0000,,177.0000,,,,,,,,,,,,,,,,,,939.0000,,,,,,2718.0000,,,,,,,,,,,,1595.0000,,20180630,CVX
002991,INDL,C,D,12,STD,,,,,,,7012000.0000,,,4,,,,,1787.0000,,,,490.0000,,625.0000,,,,,,,,,,,,,,,,,,945.0000,,,,,,2669.0000,,,,,,,,,,,,1625.0000,,20180930,CVX
002991,INDL,C,D,12,STD,,,,,,,7328000.0000,,,4,,,,,1862.0000,,,,91.0000,,250.0000,,1627.0000,,93.0000,,,,,,,,,,,,,,,,,,,,2611.0000,,,,,,,,,,,,1583.0000,,20181231,CVX
002991,INDL,C,D,12,STD,,,,,,,6975000.0000,,,4,,,,,1875.0000,,,,86.0000,,189.0000,,,,,,,,,,,,,,,,,,881.0000,,,,,,2606.0000,,,,,,,,,,,,1530.0000,,20190331,CVX
002991,INDL,C,D,12,STD,,,,,,,7327000.0000,,,4,,,,,1863.0000,,,,37.0000,,141.0000,,,,,,,,,,,,,,,,,,962.0000,,,,,,2541.0000,,,,,,,,,,,,1559.0000,,20190630,CVX
002991,INDL,C,D,12,STD,,,,,,,7215000.0000,,,4,,,,,1830.0000,,,,14.0000,,168.0000,,,,,,,,,,,,,,,,,,958.0000,,,,,,2650.0000,,,,,,,,,,,,1617.0000,,20190930,CVX
004503,INDL,C,D,12,STD,,,,,,,10717000.0000,,,4,,,,,2393.0000,,,,,,685.0000,,,,,,,,27720.0000,,,,,,,,3183.0000,,2621.0000,,685.0000,,0.0000,,6489.0000,,,,,,,,,,,,5379.0000,,20091231,XOM
004503,INDL,C,D,12,STD,,,,,,,11689000.0000,,,4,,3,,3,2414.0000,,,3,,3,686.0000,,,,,,,,,,,,,,,,2940.0000,,2535.0000,,669.0000,,0.0000,,6144.0000,,,,,,,,,,,,5156.0000,,20100331,XOM
004503,INDL,C,D,12,STD,,,,,,,10025000.0000,,,4,,3,,3,2325.0000,,,3,,3,407.0000,,,,,,,,,,,,,,,,2923.0000,,2565.0000,,753.0000,,0.0000,,6241.0000,,,,,,,,,,,,5192.0000,,20100630,XOM
004503,INDL,C,D,12,STD,,,,,,,12192000.0000,,,4,,3,,3,2421.0000,,,3,,3,500.0000,,,,,,,,,,,,,,,,3072.0000,,2680.0000,,822.0000,,0.0000,,6574.0000,,,,,,,,,,,,5364.0000,,20100930,XOM
004503,INDL,C,D,12,STD,,,,,,,14652000.0000,,,4,,,,,2526.0000,,,,,,551.0000,,,,,,,,26278.0000,,,,,,,,3180.0000,,2615.0000,,760.0000,,0.0000,,6555.0000,,,,,,,,,,,,5298.0000,,20101231,XOM
004503,INDL,C,D,12,STD,,,,,,,14525000.0000,,,4,,,,,2399.0000,,,,,3,334.0000,,,,,,,,,,,,,,,,3053.0000,,2470.0000,,744.0000,,0.0000,,6267.0000,,,,,,,,,,,,5180.0000,,20110331,XOM
004503,INDL,C,D,12,STD,,,,,,,12267000.0000,,,4,,,,,2351.0000,,,,,3,592.0000,,,,,,,,,,,,,,,,3031.0000,,2498.0000,,802.0000,,0.0000,,6331.0000,,,,,,,,,,,,5193.0000,,20110630,XOM
004503,INDL,C,D,12,STD,,,,,,,12197000.0000,,,4,,,,,2249.0000,,,,,3,728.0000,,,,,,,,,,,,,,,,3173.0000,,2568.0000,,817.0000,,0.0000,,6558.0000,,,,,,,,,,,,5232.0000,,20110930,XOM
004503,INDL,C,D,12,STD,,,,,,,13677000.0000,,,4,,,,,2250.0000,,,,,,427.0000,,,,,,,,25020.0000,,,,,,,,3140.0000,,2626.0000,,727.0000,,0.0000,,6493.0000,,,,,,,,,,,,5250.0000,,20111231,XOM
004503,INDL,C,D,12,STD,,,,,,,14036000.0000,,,4,,,,,2214.0000,,,,,3,522.0000,,,,,,,,,,,,,,,,3059.0000,,2522.0000,,735.0000,,0.0000,,6316.0000,,,,,,,,,,,,5330.0000,,20120331,XOM
004503,INDL,C,D,12,STD,,,,,,,11661000.0000,,,4,,,,,2208.0000,,,,,3,372.0000,,,,,,,,,,,,,,,,2921.0000,,2489.0000,,761.0000,,0.0000,,6171.0000,,,,,,,,,,,,4962.0000,,20120630,XOM
004503,INDL,C,D,12,STD,,,,,,,11061000.0000,,,4,,,,,2116.0000,,,,,3,494.0000,,,,,,,,,,,,,,,,2894.0000,,2447.0000,,764.0000,,0.0000,,6105.0000,,,,,,,,,,,,4929.0000,,20120930,XOM
004503,INDL,C,D,12,STD,,,,,,,12541000.0000,,,4,,,,,2203.0000,,,,,,452.0000,,,,,,,,19382.0000,,,,,,,,2867.0000,,2500.0000,,741.0000,,0.0000,,6108.0000,,,,,,,,,,,,4837.0000,,20121231,XOM
004503,INDL,C,D,12,STD,,,,,,,13213000.0000,,,4,,,,,2193.0000,,,,,3,445.0000,,,,,,,,,,,,,,,,2705.0000,,2355.0000,,695.0000,,0.0000,,5755.0000,,,,,,,,,,,,4576.0000,,20130331,XOM
004503,INDL,C,D,12,STD,,,,,,,11354000.0000,,,4,,,,,2182.0000,,,,,3,454.0000,,,,,,,,,,,,,,,,2691.0000,,2327.0000,,747.0000,,0.0000,,5765.0000,,,,,,,,,,,,4466.0000,,20130630,XOM
004503,INDL,C,D,12,STD,,,,,,,10914000.0000,,,4,,,,,2199.0000,,,,,3,486.0000,,,,,,,,,,,,,,,,2788.0000,,2455.0000,,788.0000,,0.0000,,6031.0000,,,,,,,,,,,,4847.0000,,20130930,XOM
004503,INDL,C,D,12,STD,,,,,,,11887000.0000,,,4,,,,,2235.0000,,,,,,591.0000,,,,,,,,,,,,,,,,2740.0000,,2533.0000,,721.0000,,0.0000,,5994.0000,,,,,,,,,,,,4452.0000,,20131231,XOM
004503,INDL,C,D,12,STD,,,,,,,12016000.0000,,,4,,,,,2148.0000,,,,,3,317.0000,,,,,,,,,,,,,,,,2722.0000,,2401.0000,,694.0000,,0.0000,,5817.0000,,,,,,,,,,,,4509.0000,,20140331,XOM
004503,INDL,C,D,12,STD,,,,,,,10750000.0000,,,4,,,,,2048.0000,,,,,3,496.0000,,,,,,,,,,,,,,,,2678.0000,,2436.0000,,727.0000,,0.0000,,5841.0000,,,,,,,,,,,,4454.0000,,20140630,XOM
004503,INDL,C,D,12,STD,,,,,,,10595000.0000,,,4,,,,,2065.0000,,,,,3,319.0000,,,,,,,,,,,,,,,,2802.0000,,2482.0000,,715.0000,,0.0000,,5999.0000,,,,,,,,,,,,4591.0000,,20140930,XOM
004503,INDL,C,D,12,STD,,,,,,,11234000.0000,,,4,,,,,2182.0000,,,,,,537.0000,,,,,,,,,,,,,,,,2702.0000,,2486.0000,,657.0000,,0.0000,,5845.0000,,,,,,,,,,,,4349.0000,,20141231,XOM
004503,INDL,C,D,12,STD,,,,,,,11828000.0000,,,4,,,,,2277.0000,,,,,3,311.0000,,,,,,,,,,,,,,,,2799.0000,,2363.0000,,652.0000,,0.0000,,5814.0000,,,,,,,,,,,,4546.0000,,20150331,XOM
004503,INDL,C,D,12,STD,,,,,,,10128000.0000,,,4,,,,,2291.0000,,,,,3,370.0000,,,,,,,,,,,,,,,,2655.0000,,2376.0000,,706.0000,,0.0000,,5737.0000,,,,,,,,,,,,4330.0000,,20150630,XOM
004503,INDL,C,D,12,STD,,,,,,,9524000.0000,,,4,,,,,2331.0000,,,,,3,324.0000,,,,,,,,,,,,,,,,2713.0000,,2382.0000,,693.0000,,0.0000,,5788.0000,,,,,,,,,,,,4457.0000,,20150930,XOM
004503,INDL,C,D,12,STD,,,,,,,10603000.0000,,,4,,,,,2481.0000,,,,,,518.0000,,,,,,,,,,,,,,,,2692.0000,,2330.0000,,657.0000,,0.0000,,5679.0000,,,,,,,,,,,,4395.0000,,20151231,XOM
004503,INDL,C,D,12,STD,,,,,,,10724000.0000,,,4,,3,,3,2538.0000,,,3,,3,355.0000,,,,,,,,,,,,,,,,2487.0000,,2211.0000,,636.0000,,0.0000,,5334.0000,,,,,,,,,,,,4185.0000,,20160331,XOM
